Frequency			Letter			Predict			Std Freq
0.128769			E			E			0.127020
0.089012			T			T			0.090560
0.078370			A			A			0.081670
0.074809			O			O			0.075070
0.070394			I			I			0.069660
0.069401			N			N			0.067490
0.064341			H			S			0.063270
0.061500			S			H			0.060940
0.058582			R			R			0.059870
0.042277			D			D			0.042530
0.040836			L			L			0.040250
0.028652			U			C			0.027820
0.026191			M			U			0.027580
0.024620			C			M			0.024060
0.023256			W			W			0.023600
0.023242			Y			F			0.022280
0.021735			F			G			0.020150
0.019505			G			Y			0.019740
0.016398			B			P			0.019290
0.015139			P			B			0.014920
0.010203			V			V			0.009780
0.006779			K			K			0.007720
0.001582			J			J			0.001530
0.001574			Z			X			0.001500
0.001533			X			Q			0.000950
0.001298			Q			Z			0.000740
